No.;Tahun;Jenis Hutan;Nama PBPH;Luas PBPH;Target Produksi RKTPH Murni Luas (Ha);Target Produksi RKTPH Murni Volume (M3);Target Produksi RKTPH Carry Over Luas (Ha);Target Produksi RKTPH Carry Over Volume (M3);Target Produksi RKTPH Jumlah Luas (Ha);Target Produksi RKTPH Jumlah Volume (M3);Realisasi Produksi RKTPH Alam Volume (M3);Realisasi Produksi RKTPH Tanaman Volume (M3);Realisasi Produksi RKTPH Jumlah Volume (M3);Prosentase;Keterangan
73;2022;Hutan Tanaman;PT. Sumalindo Hutani Jaya II;54.490,00;2.089,00;208.297,00;0;0;2.089,00;208.297,00;0;0;0;0,00%;Tidak Ada
74;2022;Hutan Tanaman;PT. Wahana Subur Persada;41.735,00;0;0;1.177,00;5.917,00;1.177,00;5.917,00;0;0;0;0,00%;Tidak Ada
75;2022;Hutan Tanaman;PT. Mahakam Persada Sakti;25.410,00;6.000,82;326.465,40;0;0;6.000,82;326.465,40;0;141.924,27;141.924,27;43,47%;Tidak Ada
76;2022;Hutan Tanaman;PT. Silva Rimba Lestari;88.000,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
77;2022;Hutan Tanaman;PT. Kelawit Wanalestari II;26.565,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
78;2022;Hutan Tanaman;PT. Swadaya Perkasa;17.925,00;2.057,00;51.069,47;0;0;2.057,00;51.069,47;5.445,53;0;5.445,53;10,66%;Tidak Ada
79;2022;Hutan Tanaman;PT. Indosubur Sukses Makmur;28.655,00;2.269,00;74.357,81;3.876,59;46.662,26;6.145,59;121.020,07;26.575,10;0;26.575,10;21,96%;Tidak Ada
80;2022;Hutan Tanaman;PT. Taman Daulat Wananusa;13.400,00;1.289,00;45.054,00;0;0;1.289,00;45.054,00;0;0;0;0,00%;Tidak Ada
81;2022;Hutan Tanaman;PT. Kelawit Hutani Lestari;9.755,00;0;0;360;53.801,00;360;53.801,00;0;0;0;0,00%;Tidak Ada
82;2022;Hutan Tanaman;PT. Fajar Surya Swadaya;56.211,75;9.202,00;626.376,80;1.299,90;119.535,00;10.501,90;745.911,80;0;110.897,03;110.897,03;14,87%;Tidak Ada
83;2022;Hutan Tanaman;PT. Sylvaduta Corporation;42.635,00;11;31,95;0;0;11;31,95;0;0;0;0,00%;Tidak Ada
84;2022;Hutan Tanaman;PT. Diva Perdana Pesona;29.485,00;79;0;400;0;479;0;0;0;0;0,00%;Tidak Ada
